asset_id,asset_type,state,voltage_kv,lat,lon,description
Channelview Cogen Substation,substation,TX,345,29.8366,-95.1234,Real 345 kV electric substation (OpenStreetMap)
O'Brien Substation,substation,TX,345,29.6731,-95.7177,Real 345 kV electric substation (OpenStreetMap)
King Substation,substation,TX,345,29.9153,-95.2163,Real 345 kV electric substation (OpenStreetMap)
Addicks Substation,substation,TX,345,29.8228,-95.5729,Real 345 kV electric substation (OpenStreetMap)
White Oak Substation,substation,TX,345,29.8152,-95.4348,Real 345 kV electric substation (OpenStreetMap)
